# renames_high.tsv — HIGH-confidence Ghidra symbol renames.
# Format: address\tbinary\ttype\tname\tdescription
# See renames_low.tsv header for full schema.
# Applied AFTER renames_low.tsv; conflicts log as OVERRIDE.
# Sound-system entries live in renames_high_sound.tsv (auto-loaded alongside).

# === Functions ================================================================
0x8001b9f4	SCUS	FN	rsin
0x8001bc28	SCUS	FN	rcos
0x8001c068	SCUS	FN	vec3_normalize
0x8001d0a8	SCUS	FN	load_gte_matrix
0x8001d578	SCUS	FN	rotate_vector
0x8001d658	SCUS	FN	build_rotation_matrix
0x80023bb4	SCUS	FN	AddPrim
0x80023ce0	SCUS	FN	SetLineF2
0x80044414	SCUS	FN	alloc_gpu_primitive
0x80068b54	BATTLE	FN	apply_unit_ability_reaction
0x80068bd4	BATTLE	FN	trigger_unit_hit_reaction
0x80068e30	BATTLE	FN	refresh_unit_tile_state
0x8008be7c	BATTLE	FN	trigger_unit_animations_by_param
0x8008e328	BATTLE	FN	set_frame_pacing
0x8008e348	BATTLE	FN	clear_frame_pacing
0x801a0e80	BATTLE	FN	effect_file_init
0x801a1200	BATTLE	FN	lookup_time_scale_p1
0x801a1244	BATTLE	FN	lookup_time_scale_p2
0x801a18d8	BATTLE	FN	effect_system_main_loop
0x801a1d9c	BATTLE	FN	effect_cleanup
0x801a2374	BATTLE	FN	op_set_texture_page
0x801a2c28	BATTLE	FN	op_branch_anim_done
0x801a2c7c	BATTLE	FN	op_branch_anim_done_complex
0x801a2eb4	BATTLE	FN	update_all_particles
0x801a3148	BATTLE	FN	op_init_physics_params
0x801a31a8	BATTLE	FN	process_keyframe_actions
0x801a3408	BATTLE	FN	for_each_phase_timeline_tick
0x801a3d30	BATTLE	FN	dispatch_unit_triggers_and_register_callback
0x801a4000	BATTLE	FN	process_particle_channel_and_unit_triggers
0x801a41a0	BATTLE	FN	advance_affected_units_palette_track
0x801a436c	BATTLE	FN	advance_caster_palette_track
0x801a444c	BATTLE	FN	advance_target_palette_track
0x801a45c8	BATTLE	FN	advance_screen_color_track
0x801a4838	BATTLE	FN	outer_phases_timeline_tick
0x801a4cf0	BATTLE	FN	effect_script_dispatcher
0x801a522c	BATTLE	FN	allocate_sprite_primitives
0x801a52b4	BATTLE	FN	deallocate_sprite_primitives
0x801a5394	BATTLE	FN	submit_sprite_to_ordering_table
0x801a5b84	BATTLE	FN	particle_allocator
0x801a5d74	BATTLE	FN	deallocate_particle
0x801a5ea4	BATTLE	FN	update_particle_render_state
0x801a634c	BATTLE	FN	emitter_control_routine
0x801a8690	BATTLE	FN	random_in_range
0x801a8898	BATTLE	FN	lerp_component
0x801a894c	BATTLE	FN	interp_cosine_a
0x801a89b0	BATTLE	FN	interp_cosine_b
0x801a8a14	BATTLE	FN	interp_linear
0x801a8be0	BATTLE	FN	lerp_u8
0x801a95e8	BATTLE	FN	apply_random_position_shake
0x801a9984	BATTLE	FN	set_gravity_vector
0x801a99ac	BATTLE	FN	set_inertia_threshold
0x801a9bb0	BATTLE	FN	integrate_particle_motion
0x801aa008	BATTLE	FN	allocate_animation_state
0x801aa1a0	BATTLE	FN	init_particle_animation
0x801aa1f8	BATTLE	FN	render_particle_sprite
0x801aad98	BATTLE	FN	execute_camera_angle_command
0x801ab1d4	BATTLE	FN	execute_camera_position_command
0x801ab590	BATTLE	FN	execute_camera_zoom_command
0x801ab724	BATTLE	FN	camera_state_machine
0x801acb08	BATTLE	FN	find_active_camera_keyframe
0x801ad198	BATTLE	FN	advance_camera_tracks
0x801b0fec	BATTLE	FN	charge_vfx_handler_0
0x801b0ffc	BATTLE	FN	render_spell_charge_lines
0x801b153c	BATTLE	FN	charge_vfx_handler_2
0x801b1aec	BATTLE	FN	charge_vfx_handler_3
0x801b1c04	BATTLE	FN	render_summon_charge_orbs
0x801b27dc	BATTLE	FN	render_summon_charge_aura
0x801b47e0	BATTLE	FN	process_charge_vfx

# === Global labels ============================================================
0x8004598c	SCUS	GL	frame_pacing_timer
0x80045998	SCUS	GL	g_frame_pacing_value
0x801b48d0	BATTLE	GL	effect_file_table
0x801b63e8	BATTLE	GL	effect_system_state
0x801b67c8	BATTLE	GL	effect_handler_jump_table
0x801b69a8	BATTLE	GL	heap_free_list
0x801b69cc	BATTLE	GL	g_camera_track1_state
0x801b69d0	BATTLE	GL	g_camera_track2_state
0x801b69d4	BATTLE	GL	g_camera_track3_state
0x801b8900	BATTLE	GL	g_charge_vfx_handlers
0x801b8a40	BATTLE	GL	gravity_x
0x801b8a44	BATTLE	GL	gravity_y
0x801b8a48	BATTLE	GL	gravity_z
0x801b8a4c	BATTLE	GL	inertia_threshold
0x801b8a60	BATTLE	GL	camera_track1_data
0x801b8a88	BATTLE	GL	camera_track2_data
0x801b8ad0	BATTLE	GL	camera_track3_data
0x801b8ad8	BATTLE	GL	camera_saved_x
0x801b8adc	BATTLE	GL	camera_saved_y
0x801b8ae0	BATTLE	GL	camera_saved_z
0x801b8ae4	BATTLE	GL	camera_saved_w
0x801b8ae8	BATTLE	GL	camera_start_x
0x801b8aec	BATTLE	GL	camera_start_y
0x801b8af0	BATTLE	GL	camera_start_z
0x801b8af4	BATTLE	GL	camera_start_w
0x801b8af8	BATTLE	GL	camera_current_x
0x801b8afc	BATTLE	GL	camera_current_y
0x801b8b00	BATTLE	GL	camera_current_z
0x801b8b04	BATTLE	GL	camera_current_w
0x801b8b9c	BATTLE	GL	g_charge_slots
0x801b8b9f	BATTLE	GL	g_charge_slot_func_id_base
0x801b9130	BATTLE	GL	g_charge_slot_list_head
0x801b9134	BATTLE	GL	g_charge_slot_free_head
0x801b9138	BATTLE	GL	g_current_charge_slot_index
0x801b9158	BATTLE	GL	free_effect_list_head
0x801b9258	BATTLE	GL	time_scale_ptr
0x801b9270	BATTLE	GL	particle_pool_head
0x801bacc8	BATTLE	GL	effect_flags_ptr
0x801bad0c	BATTLE	GL	effect_context_value
0x801bade4	BATTLE	GL	line_count
0x801bade8	BATTLE	GL	line_index_array
0x801badec	BATTLE	GL	line_frame_counter
0x801badf0	BATTLE	GL	line_pos_x
0x801badf2	BATTLE	GL	line_pos_y
0x801badf4	BATTLE	GL	line_pos_z
0x801badf8	BATTLE	GL	line_time_scale
0x801badfe	BATTLE	GL	line_buffer_x
0x801bae00	BATTLE	GL	line_buffer_z
0x801bbf64	BATTLE	GL	effect_target_unit
0x801bbf78	BATTLE	GL	sprite_def_table_ptr
0x801bbf7c	BATTLE	GL	effect_anim_tbl_ptr
0x801bbf80	BATTLE	GL	texture_data_ptr
0x801bbf84	BATTLE	GL	timeline_channel_base
0x801bbf88	BATTLE	GL	effect_data_ptr
0x801bbf8c	BATTLE	GL	animation_table_ptr
0x801bbf90	BATTLE	GL	active_effect_list_head
0x801bc094	BATTLE	GL	script_bytecode_ptr
0x801bc098	BATTLE	GL	g_current_charge_slot_ptr
0x801bc0c8	BATTLE	GL	timeline_section_ptr
0x801bc0cc	BATTLE	GL	g_ordering_table_ptr
0x801bf000	BATTLE	GL	current_texture_page
0x801bf00a	BATTLE	GL	anim_state_free_head
0x801bf02c	BATTLE	GL	effect_state_array_base
0x801c00a4	BATTLE	GL	anim_state_pool_base
0x801c24c8	BATTLE	GL	effect_phase_state
0x801c24d0	BATTLE	GL	current_effect_index
0x801c24d4	BATTLE	GL	child_effect_index
0x801c24da	BATTLE	GL	anim_state_alloc_head
0x801cc074	BATTLE	GL	sprite_buffer_base
0x801cc094	BATTLE	GL	sprite_buffer_1
0x801cc0b4	BATTLE	GL	sprite_buffer_2
0x801cc0d4	BATTLE	GL	sprite_buffer_3
0x801cc0f4	BATTLE	GL	sprite_buffer_4
